# F34 BrakeDataPreprocessor optimizer-compatible export
# Source session: endurance65
# Segment type: endurance_stint | source time 8.200 to 838.100 s
# Source files: Endurance 6-5.txt
# Format: drs_22_column | estimated: none | missing-as-NaN: tempFLRaw, tempRLRaw | startup-cleaning: trimmed 0.00 s, start 26.6 C, spikes 4880
Time_s	FL_RotorTemp_RAW	FR_RotorTemp_RAW	RL_RotorTemp_RAW	RR_RotorTemp_RAW	DRS_State	Steering_pct	FrontBrakePressure_RAW	AccelPedalA_pct	AccelPedalB_pct	Reserved	RearBrakePressure_RAW	FL_FeedbackTorque_pctMn	FL_FeedbackVelocity_rpm	FR_FeedbackTorque_pctMn	FR_FeedbackVelocity_rpm	RL_FeedbackTorque_pctMn	RL_FeedbackVelocity_rpm	RR_FeedbackTorque_pctMn	RR_FeedbackVelocity_rpm	Velocity_mps	AccelX_mps2
0	NaN	516	NaN	513	0	-3	363	0	0	0	410	-0	-0	0	-0	0	-0	0	-0	0.008	-0.101
0.1	NaN	520	NaN	512	0	-4	359	0	0	0	410	0	0	-0	0	0	0	0	0	0.009	-0.124
0.2	NaN	521	NaN	512	0	-4	361	0	0	0	409	-0	-0	0	-0	0	0	-0	-0	0.006	0.023
0.3	NaN	513	NaN	512	0	-4	361	0	0	0	410	0	-0	-0	0	-0	-0	0	-0	0.008	0.096
0.4	NaN	515	NaN	512	0	-5	361	0	0	0	409	-0	-0	-0	-0	0	-0	0	-0	0.008	0.161
0.5	NaN	522	NaN	513	0	-4	364	0	0	0	410	0	0	-0	0	0	0	-0	-0	0.008	0.139
0.6	NaN	517	NaN	512	0	0	361	0	0	0	410	0	0	-0	-0	0	-0	-0	-0	0.006	0.043
0.7	NaN	522	NaN	514	0	-2	360	0	0	0	410	-0	-0	0	0	-0	0	-0	0	0.007	-0.052
0.8	NaN	518	NaN	512	0	-4	362	0	0	0	410	-0	-0	0	-0	0	0	0	-0	0	-0.142
0.9	NaN	512	NaN	512	0	-4	365	0	0	0	410	0	0	-0	0	-0	0	-0	0	0.001	-0.195
1	NaN	516	NaN	512	0	-1	361	0	0	0	409	0	0	-0	-0	-0	0	0	0	0.001	-0.083
1.1	NaN	520	NaN	512	0	-1	360	0	0	0	409	0	0	0	-0	0	0	0	0	0.001	-0.002
1.2	NaN	518	NaN	512	0	-3	363	0	0	0	409	0	-0	0	-0	-0	-0	-0	-0	-0.006	0.066
1.3	NaN	511	NaN	512	0	-3	364	0	0	0	409	-0	-0	-0	0	0	0	0	0	-0.003	0.122
1.4	NaN	518	NaN	513	0	-0	360	0	0	0	410	-0	-0	0	-0	0	-0	-0	-0	-0.007	0.062
1.5	NaN	519	NaN	512	0	-1	360	0	0	0	410	0	-0	-0	-0	-0	-0	0	0	-0.005	0.068
1.6	NaN	522	NaN	512	0	-1	360	0	0	0	410	0	-0	-0	-0	0	-0	0	-0	-0.006	0.085
1.7	NaN	520	NaN	512	0	-4	360	0	0	0	410	-0	0	0	-0	-0	-0	0	-0	-0.007	0.089
1.8	NaN	517	NaN	513	0	-1	363	0	0	0	409	0	-0	-0	0	-0	0	-0	-0	-0.003	-0.092
1.9	NaN	514	NaN	512	0	-1	364	0	0	0	410	0	0	0	-0	-0	0	0	-0	-0.005	-0.112
2	NaN	520	NaN	512	0	-4	362	0	0	0	409	0	0	0	-0	0	0	-0	-0	-0.002	-0.172
2.1	NaN	513	NaN	515	0	-3	365	0	0	0	409	0	0	0	-0	0	0	0	-0	-0.001	-0.116
2.2	NaN	513	NaN	512	0	-2	363	0	0	0	411	0	-0	0	-0	-0	0	0	-0	-0.002	-0.083
2.3	NaN	518	NaN	512	0	-4	363	0	0	0	409	0	0	0	0	-0	0	0	-0	-0.002	0.039
2.4	NaN	512	NaN	514	0	-2	364	0	0	0	409	0	-0	-0	-0	0	0	0	0	-0.006	0.087
2.5	NaN	515	NaN	512	0	-0	363	0	0	0	410	0	-0	0	-0	-0	-0	-0	-0	-0.008	0.15
2.6	NaN	522	NaN	512	0	-2	362	0	0	0	409	0	-0	-0	-0	0	-0	0	0	-0.01	0.126
2.7	NaN	517	NaN	512	0	-2	359	0	0	0	410	-0	0	0	0	-0	0	0	1	-0.007	0.152
2.8	NaN	515	NaN	512	0	-4	361	0	0	0	411	0	-0	-0	-0	-0	-0	0	-0	-0.006	0.083
2.9	NaN	517	NaN	512	0	-4	359	0	0	0	409	0	0	0	0	0	0	-0	0	-0.004	-0.006
3	NaN	517	NaN	510	0	-4	361	0	0	0	410	0	0	0	-0	-0	-0	0	-0	-0.007	-0.033
3.1	NaN	520	NaN	512	0	-4	360	0	0	0	409	0	0	0	0	0	0	0	0	-0.006	-0.13
3.2	NaN	512	NaN	512	0	-0	364	0	0	0	409	-0	0	-0	-0	0	-0	0	0	-0.005	-0.163
3.3	NaN	515	NaN	512	0	-4	363	0	0	0	409	0	0	-0	-0	-0	-0	-0	-0	-0.006	-0.148
3.4	NaN	521	NaN	512	0	-1	362	0	0	0	410	-0	-0	0	-0	-0	-0	0	-0	-0.006	-0.097
3.5	NaN	515	NaN	512	0	-2	359	0	0	0	410	0	-0	0	0	-0	0	-0	0	-0.005	0.009
3.6	NaN	520	NaN	512	0	-0	367	0	0	0	409	0	-0	-0	-0	0	0	0	0	-0.004	0.071
3.7	NaN	520	NaN	513	0	-1	360	0	0	0	410	-0	0	0	-0	-0	-0	0	-0	-0.004	0.084
3.8	NaN	512	NaN	512	0	-4	361	0	0	0	410	0	0	-0	0	-0	-0	-0	0	-0	0.125
3.9	NaN	514	NaN	512	0	-2	364	0	0	0	409	-0	-0	0	0	-0	0	0	-0	-0.001	0.093
4	NaN	514	NaN	512	0	-4	362	0	0	0	409	0	0	-0	0	-0	-0	-0	-0	-0.001	0.029
4.1	NaN	512	NaN	513	0	-1	365	0	0	0	409	0	0	0	-0	-0	-0	0	-0	-0	-0.045
4.2	NaN	518	NaN	512	0	-4	365	0	0	0	411	-0	-0	0	0	0	-0	0	-0	-0.001	-0.128
4.3	NaN	519	NaN	512	0	-4	360	0	0	0	409	0	0	0	-0	-0	0	0	0	-0.001	-0.141
4.4	NaN	512	NaN	512	0	0	360	0	0	0	409	-0	-0	0	0	-0	-0	0	0	-0.002	-0.123
4.5	NaN	513	NaN	512	0	-2	362	0	0	0	411	0	0	-0	-0	0	0	0	-0	-0.003	-0.042
4.6	NaN	515	NaN	512	0	-0	364	0	0	0	409	0	-0	-0	-0	0	0	-0	0	0.001	0.086
4.7	NaN	514	NaN	511	0	-4	366	0	0	0	409	0	-0	-0	0	0	0	0	0	0	0.162
4.8	NaN	515	NaN	512	0	-2	363	0	0	0	410	-0	0	0	0	-0	0	0	0	0.005	0.159
4.9	NaN	516	NaN	512	0	-3	365	0	0	0	409	0	0	-0	-0	-0	-0	-0	-0	0.003	0.064
5	NaN	520	NaN	512	0	-0	365	0	0	0	411	0	-0	-0	0	0	0	0	0	0.005	-0.084
5.1	NaN	513	NaN	510	0	-1	361	0	0	0	411	-0	-0	0	0	-0	-0	-0	0	0.004	-0.096
5.2	NaN	521	NaN	512	0	-3	360	0	0	0	412	-0	0	-0	0	-0	-0	0	0	0.005	-0.2
5.3	NaN	521	NaN	511	0	-2	364	0	0	0	410	-0	-0	0	-0	-0	0	0	-0	0.005	-0.113
5.4	NaN	513	NaN	511	0	-0	365	0	0	0	409	-0	-0	-0	-0	-0	0	0	-0	0.004	-0.001
5.5	NaN	512	NaN	511	0	-1	364	0	0	0	411	0	0	-0	-0	-0	-0	0	-0	0.004	0.096
5.6	NaN	517	NaN	512	0	-2	359	0	0	0	410	0	0	0	0	-0	0	0	0	0.003	0.16
5.7	NaN	519	NaN	512	0	-2	363	0	0	0	414	0	-0	0	-0	0	0	0	-0	0.002	0.136
5.8	NaN	515	NaN	513	0	-2	364	0	0	0	412	0	0	-0	-0	0	0	-0	0	0.003	0.009
5.9	NaN	519	NaN	513	0	-3	360	0	0	0	411	0	0	-0	0	-0	-0	0	-0	0.003	-0.088
6	NaN	513	NaN	513	0	-1	365	0	0	0	408	0	0	-0	-0	0	0	0	-0	0.001	-0.114
6.1	NaN	522	NaN	513	0	-3	361	0	0	0	408	0	-0	-0	0	-0	0	0	-0	0	-0.132
6.2	NaN	516	NaN	512	0	-4	360	0	0	0	409	0	-0	-0	-0	-0	-0	0	0	0.002	-0.045
6.3	NaN	511	NaN	514	0	-1	363	0	0	0	410	-0	0	0	-0	-0	-0	-0	-0	0.002	0.05
6.4	NaN	522	NaN	513	0	-4	360	0	0	0	410	0	-0	0	-0	-0	0	0	-0	0.003	0.116
6.5	NaN	512	NaN	512	0	-0	365	0	0	0	411	0	0	-0	0	0	-0	0	0	0.003	0.108
6.6	NaN	519	NaN	513	0	-2	362	0	0	0	411	0	0	0	0	0	0	0	-0	0.007	0.055
6.7	NaN	514	NaN	513	0	-3	359	0	0	0	410	-0	0	0	-0	-0	0	0	0	0.007	-0.046
6.8	NaN	513	NaN	512	0	-1	365	0	0	0	414	0	0	0	0	0	-0	-0	-0	-0.003	-0.114
6.9	NaN	520	NaN	511	0	-4	360	0	0	0	410	0	-0	0	0	0	0	0	0	-0.002	-0.107
