# F34 BrakeDataPreprocessor optimizer-compatible export
# Source session: brakestesting611
# Segment type: braking_event | combined 10 segments | source ranges: 1403.500-1463.400 s, 1765.000-1875.300 s, 2570.500-2659.000 s, 3042.000-3340.000 s, 3650.800-3702.500 s, 3753.800-3818.500 s, 3845.900-3917.800 s, 4172.600-4242.200 s, 4841.100-4985.500 s, 5293.900-5609.400 s
# Source files: BrakesTesting 6-11.txt
# Format: drs_22_column | estimated: none | missing-as-NaN: tempFLRaw, tempRLRaw | startup-cleaning: trimmed 5.30 s, start 20.8 C, spikes 3670
Time_s	FL_RotorTemp_RAW	FR_RotorTemp_RAW	RL_RotorTemp_RAW	RR_RotorTemp_RAW	DRS_State	Steering_pct	FrontBrakePressure_RAW	AccelPedalA_pct	AccelPedalB_pct	Reserved	RearBrakePressure_RAW	FL_FeedbackTorque_pctMn	FL_FeedbackVelocity_rpm	FR_FeedbackTorque_pctMn	FR_FeedbackVelocity_rpm	RL_FeedbackTorque_pctMn	RL_FeedbackVelocity_rpm	RR_FeedbackTorque_pctMn	RR_FeedbackVelocity_rpm	Velocity_mps	AccelX_mps2
0	NaN	458	NaN	794	0	-1	359	32	29	0	407	5	6337	6	6253	15	6312	14	6274	0	0.362
0.1	NaN	469	NaN	615	0	-1	359	31	24	0	408	3	6328	3	6293	8	6375	9	6338	0	-0.998
0.2	NaN	468	NaN	666	0	-1	358	31	24	0	408	3	6399	3	6392	9	6400	9	6383	0	-2.283
0.3	NaN	458	NaN	846	0	1	359	30	26	0	408	4	6352	4	6310	11	6415	11	6371	0	1.464
0.4	NaN	480	NaN	474	0	-2	361	29	25	0	408	1	6329	2	6289	4	6330	4	6295	0	-1.701
0.5	NaN	478	NaN	476	0	1	363	28	21	0	408	0	6352	0	6277	0	6346	0	6289	0	-1.335
0.6	NaN	482	NaN	488	0	-0	361	30	27	0	406	2	6317	2	6207	5	6261	5	6188	0	-0.867
0.7	NaN	480	NaN	475	0	-1	358	29	22	0	407	0	6291	0	6219	1	6331	1	6279	0	-1.33
0.8	NaN	457	NaN	826	0	-0	360	30	27	0	408	4	6249	4	6246	11	6267	11	6222	0	-0.96
0.9	NaN	457	NaN	830	0	0	361	30	27	0	408	4	6192	4	6160	11	6215	11	6184	0	-0.7
1	NaN	457	NaN	829	0	3	362	30	26	0	407	4	6173	4	6059	10	6186	11	6153	0	0.689
1.1	NaN	462	NaN	802	0	0	358	29	27	0	407	4	6153	4	6080	12	6183	11	6157	0	1.261
1.2	NaN	454	NaN	884	0	1	358	30	28	0	407	5	6138	5	6100	13	6234	15	6214	0	2.056
1.3	NaN	475	NaN	646	0	0	359	30	25	0	408	3	6083	3	6080	8	6086	9	6122	0	0.155
1.4	NaN	451	NaN	834	0	1	359	31	26	0	408	5	6067	5	6079	13	6064	14	6093	9.299	-0.42
1.5	NaN	482	NaN	802	0	2	362	30	24	0	408	3	5999	3	5954	6	5988	7	5975	9.285	-0.457
1.6	NaN	456	NaN	797	0	1	361	30	26	0	408	4	6029	5	5966	10	6034	11	6022	8.491	0.47
1.7	NaN	453	NaN	818	0	2	362	30	26	0	407	5	6002	4	5936	11	6016	11	5986	8.547	-0.194
1.8	NaN	461	NaN	541	0	0	357	30	26	0	408	4	5952	4	5916	11	5970	11	5940	9.016	-0.22
1.9	NaN	472	NaN	541	0	1	361	30	25	0	407	3	5905	3	5858	8	5922	8	5906	9.012	-0.084
2	NaN	477	NaN	517	0	-2	358	30	25	0	407	3	5918	3	5861	8	5932	7	5892	8.934	-1.058
2.1	NaN	471	NaN	516	0	0	361	30	24	0	408	3	5888	3	5855	7	5915	7	5874	8.91	-0.565
2.2	NaN	475	NaN	538	0	-2	357	30	25	0	408	3	5848	3	5793	8	5878	7	5817	8.856	-0.211
2.3	NaN	479	NaN	498	0	-2	359	30	24	0	408	2	5793	2	5721	6	5804	6	5760	8.813	-1.353
2.4	NaN	477	NaN	471	0	1	361	30	24	0	408	3	5788	3	5709	6	5797	6	5748	8.801	-1.113
2.5	NaN	481	NaN	463	0	0	358	30	23	0	408	2	5737	2	5716	5	5786	5	5751	8.736	0.114
2.6	NaN	485	NaN	475	0	1	362	29	23	0	409	1	5699	1	5652	3	5705	3	5651	8.681	-1.425
2.7	NaN	480	NaN	471	0	0	359	29	23	0	409	1	5609	1	5556	4	5597	3	5572	8.595	0.166
2.8	NaN	487	NaN	479	0	2	360	26	19	0	408	-0	5571	-0	5533	-0	5554	0	5541	8.612	-1.112
2.9	NaN	481	NaN	476	0	1	365	26	21	0	408	-0	5490	-0	5469	-0	5486	-0	5440	8.453	-1.684
3	NaN	487	NaN	480	0	2	359	24	18	0	409	-0	5393	-0	5354	-0	5396	0	5369	8.334	-0.857
3.1	NaN	484	NaN	482	0	1	358	23	20	0	409	-0	5367	-0	5337	-0	5360	-0	5348	8.227	-0.931
3.2	NaN	482	NaN	478	0	2	360	24	19	0	408	-0	5307	-0	5288	-0	5321	-0	5278	8.166	-1.255
3.3	NaN	488	NaN	480	0	0	360	24	18	0	408	-0	5200	-0	5158	-0	5208	-0	5165	8.079	-0.893
3.4	NaN	483	NaN	479	0	-0	360	22	15	0	408	-4	5113	-4	5083	-3	5109	-3	5120	8.131	-1.148
3.5	NaN	482	NaN	479	0	-0	363	22	15	0	408	-3	5042	-3	5022	-3	5099	-3	5074	7.989	-0.542
3.6	NaN	484	NaN	479	0	-1	358	22	17	0	408	-2	4986	-2	4966	-2	4965	-1	4931	7.904	-1.861
3.7	NaN	482	NaN	478	0	0	358	20	14	0	407	-7	4866	-7	4855	-7	4860	-7	4861	7.783	-2.037
3.8	NaN	483	NaN	477	0	-1	361	20	13	0	408	-8	4758	-8	4754	-7	4808	-7	4775	7.605	-1.606
3.9	NaN	546	NaN	479	0	0	361	19	12	0	408	-11	4612	-11	4601	-11	4599	-11	4587	7.408	-2.155
4	NaN	552	NaN	479	0	1	356	19	14	0	407	-10	4510	-10	4487	-10	4530	-10	4516	7.233	-1.99
4.1	NaN	490	NaN	473	0	2	362	19	15	0	408	-8	4440	-7	4446	-7	4377	-7	4397	7.022	-4.252
4.2	NaN	485	NaN	485	0	-0	359	21	18	0	406	-2	4329	-2	4315	-2	4350	-2	4349	6.899	-0.546
4.3	NaN	489	NaN	482	0	0	359	21	17	0	408	-2	4296	-2	4291	-2	4346	-2	4342	6.777	-0.173
4.4	NaN	484	NaN	482	0	1	362	23	20	0	407	-0	4186	-0	4181	-0	4160	-0	4165	6.769	-1.835
4.5	NaN	490	NaN	477	0	1	363	20	13	0	409	-7	4085	-6	4080	-6	4128	-7	4117	6.662	-1.128
4.6	NaN	490	NaN	484	0	-1	359	20	17	0	409	-3	4032	-4	3997	-4	4001	-3	3993	6.554	-1.498
4.7	NaN	489	NaN	482	0	-1	361	20	16	0	408	-5	3942	-4	3906	-4	3951	-5	3928	6.427	-1.419
4.8	NaN	490	NaN	482	0	-1	358	20	16	0	409	-6	3847	-6	3820	-5	3829	-5	3803	6.263	-2.192
4.9	NaN	489	NaN	480	0	-2	360	20	16	0	408	-5	3760	-5	3735	-5	3782	-5	3747	6.133	-1.263
5	NaN	486	NaN	483	0	1	361	20	16	0	406	-5	3683	-5	3646	-5	3660	-5	3648	6.03	-1.785
5.1	NaN	488	NaN	482	0	-2	364	20	16	0	408	-5	3596	-5	3546	-5	3603	-5	3579	5.897	-1.513
5.2	NaN	486	NaN	485	0	1	365	20	16	0	409	-5	3517	-5	3482	-5	3502	-5	3481	5.767	-1.867
5.3	NaN	488	NaN	483	0	0	360	20	16	0	409	-5	3410	-5	3384	-5	3429	-5	3395	5.628	-1.08
5.4	NaN	486	NaN	485	0	-0	363	19	16	0	408	-5	3340	-5	3315	-5	3347	-5	3314	5.482	-1.557
5.5	NaN	489	NaN	485	0	0	364	20	16	0	408	-4	3247	-4	3202	-4	3245	-4	3216	5.353	-0.762
5.6	NaN	490	NaN	483	0	-2	359	20	16	0	409	-4	3184	-4	3155	-4	3198	-4	3166	5.255	-1.306
5.7	NaN	492	NaN	487	0	-0	360	20	16	0	409	-4	3106	-4	3063	-4	3092	-4	3054	5.138	-1.27
5.8	NaN	494	NaN	484	0	-3	356	21	16	0	408	-4	3039	-4	2985	-4	3046	-4	3008	4.999	-1.039
5.9	NaN	488	NaN	487	0	-1	363	20	17	0	408	-4	2979	-4	2929	-4	2963	-4	2937	4.877	-1.568
6	NaN	490	NaN	484	0	-0	364	20	17	0	407	-4	2891	-4	2828	-4	2882	-4	2831	4.76	-1.281
6.1	NaN	496	NaN	484	0	-2	357	20	17	0	406	-4	2809	-4	2770	-4	2825	-4	2784	4.647	-1.472
6.2	NaN	494	NaN	486	0	-2	360	20	17	0	409	-4	2738	-4	2710	-4	2731	-4	2711	4.531	-0.904
6.3	NaN	486	NaN	484	0	0	362	20	17	0	408	-4	2667	-4	2619	-4	2663	-4	2628	4.405	-1.296
6.4	NaN	490	NaN	483	0	-3	360	20	17	0	408	-4	2578	-4	2549	-4	2597	-4	2556	4.259	-1.298
6.5	NaN	492	NaN	482	0	-3	357	20	16	0	408	-4	2509	-4	2484	-4	2504	-4	2484	4.142	-1.015
6.6	NaN	493	NaN	486	0	-3	360	20	17	0	407	-4	2451	-4	2411	-4	2440	-4	2411	4.019	-1.167
6.7	NaN	490	NaN	479	0	-1	361	20	17	0	408	-4	2373	-4	2341	-4	2384	-4	2350	3.918	-1.454
6.8	NaN	496	NaN	486	0	-1	358	20	17	0	407	-4	2306	-4	2280	-4	2311	-4	2275	3.804	-1.023
6.9	NaN	492	NaN	483	0	-0	362	21	18	0	408	-2	2253	-2	2211	-2	2253	-2	2207	3.701	-0.954
7	NaN	495	NaN	481	0	-4	362	21	18	0	409	-2	2201	-2	2157	-2	2207	-2	2159	3.587	-0.842
7.1	NaN	483	NaN	493	0	-5	359	21	18	0	408	-1	2165	-2	2093	-1	2164	-2	2109	3.509	-0.667
7.2	NaN	489	NaN	489	0	-8	363	21	18	0	406	-1	2118	-2	2048	-1	2106	-2	2043	3.404	-1.194
7.3	NaN	480	NaN	498	0	-7	363	21	18	0	409	-1	2067	-1	1982	-1	2068	-1	1989	3.321	-0.832
7.4	NaN	487	NaN	519	0	-10	361	21	18	0	409	-1	2020	-1	1938	-1	2027	-1	1947	3.233	-0.837
7.5	NaN	487	NaN	498	0	-12	363	21	18	0	408	-1	1981	-1	1884	-1	1988	-1	1890	3.158	-0.968
7.6	NaN	494	NaN	533	0	-13	360	21	18	0	408	-1	1946	-1	1839	-1	1926	-1	1835	3.067	-0.978
7.7	NaN	491	NaN	496	0	-14	363	21	18	0	408	-1	1897	-1	1776	-1	1893	-1	1774	2.995	-0.581
7.8	NaN	487	NaN	552	0	-21	356	21	18	0	408	-1	1866	-1	1718	-1	1867	-1	1715	2.936	-0.725
7.9	NaN	489	NaN	496	0	-23	360	21	18	0	408	-1	1835	-1	1663	-1	1842	-1	1662	2.863	-1.198
8	NaN	498	NaN	477	0	-29	357	21	18	0	408	-1	1804	-1	1604	-1	1792	-1	1614	2.793	-0.833
8.1	NaN	491	NaN	500	0	-33	358	21	18	0	408	-1	1782	-1	1569	-1	1770	-1	1555	2.71	-0.852
8.2	NaN	487	NaN	544	0	-36	358	21	18	0	406	-1	1733	-1	1515	-1	1731	-1	1501	2.653	-0.648
8.3	NaN	556	NaN	624	0	-37	357	22	18	0	407	-0	1695	-0	1485	-0	1699	-0	1470	2.582	-0.515
8.4	NaN	524	NaN	574	0	-35	359	22	19	0	406	-0	1669	0	1462	-0	1648	-0	1449	2.521	-0.63
8.5	NaN	541	NaN	590	0	-33	362	22	19	0	407	-0	1624	0	1417	-0	1610	-0	1412	2.465	-0.652
8.6	NaN	533	NaN	599	0	-33	364	22	18	0	408	-0	1595	-0	1393	-0	1584	-0	1385	2.384	-0.675
8.7	NaN	580	NaN	642	0	-32	363	22	19	0	408	-0	1544	-0	1362	-0	1541	-0	1348	2.338	-0.345
8.8	NaN	551	NaN	653	0	-34	361	22	19	0	407	-0	1524	0	1326	-0	1514	-0	1322	2.307	-0.703
8.9	NaN	564	NaN	682	0	-33	361	22	18	0	408	-0	1479	-0	1292	-0	1455	-0	1292	2.259	-0.544
9	NaN	555	NaN	610	0	-36	358	22	18	0	408	-0	1431	-0	1259	-0	1422	-0	1255	2.223	-0.57
9.1	NaN	573	NaN	635	0	-36	360	22	19	0	407	-0	1399	0	1238	-0	1399	-0	1229	2.175	-0.534
9.2	NaN	593	NaN	657	0	-36	363	21	19	0	407	-0	1369	0	1203	-0	1366	-0	1194	2.123	-0.448
9.3	NaN	568	NaN	746	0	-35	357	22	18	0	408	-0	1337	-0	1176	-0	1339	-0	1161	2.075	-0.44
9.4	NaN	601	NaN	661	0	-36	361	22	18	0	407	-0	1318	0	1156	-0	1303	-0	1140	2.043	-0.832
9.5	NaN	624	NaN	650	0	-35	357	22	18	0	407	-0	1281	-0	1116	-0	1258	-0	1105	2.003	-0.783
9.6	NaN	642	NaN	815	0	-35	360	22	19	0	407	-0	1242	0	1088	-0	1231	-0	1082	1.919	-0.779
9.7	NaN	613	NaN	866	0	-33	360	21	18	0	408	-0	1210	-1	1076	-0	1205	-0	1060	1.868	-0.641
9.8	NaN	659	NaN	896	0	-35	358	22	18	0	408	-0	1184	-0	1038	-0	1172	-1	1028	1.822	-0.642
9.9	NaN	716	NaN	831	0	-33	362	22	18	0	408	-0	1145	-0	1004	-0	1137	-0	998	1.783	-0.399
10	NaN	663	NaN	782	0	-35	359	22	18	0	407	-0	1121	-0	980	-0	1116	0	966	1.74	-0.738
10.1	NaN	665	NaN	758	0	-33	359	22	18	0	408	-0	1095	-0	948	-0	1079	0	948	1.693	-0.797
10.2	NaN	633	NaN	824	0	-36	358	22	18	0	406	-0	1041	0	924	-0	1037	-0	927	1.616	-0.456
10.3	NaN	693	NaN	728	0	-33	362	22	18	0	407	0	1009	-0	899	-0	1006	-0	878	1.579	-0.67
10.4	NaN	687	NaN	909	0	-32	355	22	18	0	407	-0	975	-0	862	-0	977	-0	849	1.483	-0.831
10.5	NaN	678	NaN	813	0	-34	358	22	19	0	407	-0	927	-0	827	-0	932	-0	810	1.426	-0.685
10.6	NaN	661	NaN	724	0	-32	362	22	18	0	406	-0	890	-0	799	-0	902	-0	773	1.367	-0.854
10.7	NaN	663	NaN	738	0	-37	362	21	18	0	408	-0	851	-0	757	-0	859	-0	742	1.319	-0.471
10.8	NaN	715	NaN	749	0	-43	357	21	18	0	407	-0	835	-0	724	-0	834	-0	716	1.275	-0.261
10.9	NaN	717	NaN	950	0	-43	361	22	18	0	407	-0	794	-0	686	-0	800	-0	675	1.238	-0.286
11	NaN	700	NaN	1034	0	-48	359	22	18	0	407	-0	764	-0	666	-0	768	-0	645	1.16	-0.834
11.1	NaN	730	NaN	809	0	-46	364	22	18	0	405	-0	744	0	625	-0	730	-0	607	1.075	-0.77
11.2	NaN	793	NaN	1059	0	-51	363	22	18	0	407	-0	694	-0	585	-0	687	-0	562	1.037	-0.589
11.3	NaN	830	NaN	1020	0	-51	363	23	19	0	405	-0	647	-0	539	-0	640	-0	524	0.983	-0.896
11.4	NaN	908	NaN	1240	0	-49	358	23	19	0	407	-0	599	-0	497	-0	590	0	485	0.921	-0.664
11.5	NaN	974	NaN	1212	0	-51	358	24	21	0	407	-0	562	0	465	0	551	0	455	0.856	-0.402
11.6	NaN	1099	NaN	1110	0	-50	363	25	22	0	406	-0	516	0	429	-0	513	-0	419	0.794	-0.741
11.7	NaN	1109	NaN	1225	0	-50	361	26	23	0	405	-0	470	-0	395	0	465	-0	385	0.735	-0.468
11.8	NaN	1050	NaN	1162	0	-51	358	27	24	0	407	0	430	0	360	2	426	0	350	0.681	-0.376
11.9	NaN	1125	NaN	1243	0	-51	358	27	25	0	407	2	409	0	332	6	401	1	322	0.636	-0.198
12	NaN	1101	NaN	1157	0	-49	362	28	25	0	407	3	388	0	316	7	379	1	307	0.603	-0.241
12.1	NaN	1143	NaN	1149	0	-52	357	28	25	0	408	2	356	0	295	7	354	1	290	0.575	0.067
12.2	NaN	1215	NaN	1230	0	-48	362	28	25	0	405	4	337	0	277	9	327	2	268	0.527	0.018
12.3	NaN	1204	NaN	1260	0	-51	358	28	26	0	407	4	326	0	267	11	322	2	261	0.514	0.069
12.4	NaN	1180	NaN	1171	0	-48	358	28	26	0	407	4	320	1	266	11	317	2	260	0.498	0.14
12.5	NaN	1146	NaN	1329	0	-50	357	29	26	0	407	4	315	1	256	12	311	2	253	0.491	0.08
12.6	NaN	1188	NaN	1145	0	-51	363	29	26	0	407	4	313	0	259	12	309	2	250	0.482	0.082
12.7	NaN	1233	NaN	1187	0	-49	360	28	26	0	407	4	311	1	253	11	303	2	251	0.478	0.232
12.8	NaN	1164	NaN	1339	0	-50	362	28	26	0	407	4	303	1	257	12	307	2	247	0.478	0.072
12.9	NaN	1206	NaN	1285	0	-50	364	28	26	0	407	4	304	1	244	11	299	2	246	0.47	0.012
13	NaN	1217	NaN	1354	0	-51	357	28	25	0	407	4	306	1	247	12	299	2	240	0.471	0.07
13.1	NaN	1175	NaN	1398	0	-49	356	28	25	0	407	4	297	0	242	10	288	2	236	0.469	0.239
13.2	NaN	1110	NaN	1404	0	-50	363	28	25	0	408	4	276	0	230	11	271	2	226	0.457	0.057
13.3	NaN	1327	NaN	1400	0	-50	358	29	25	0	407	4	268	1	217	12	263	2	212	0.44	-0.021
13.4	NaN	1226	NaN	1666	0	-49	357	29	26	0	407	4	254	1	207	11	247	2	206	0.412	-0.107
13.5	NaN	1165	NaN	1287	0	-47	360	28	25	0	407	4	232	1	197	11	227	2	194	0.392	-0.005
13.6	NaN	1310	NaN	1206	0	-46	358	28	25	0	407	4	229	1	191	10	226	2	181	0.376	0.213
13.7	NaN	1118	NaN	1187	0	-48	358	29	26	0	407	5	218	1	184	14	219	3	179	0.371	0.174
13.8	NaN	1160	NaN	1494	0	-47	354	30	27	0	406	6	220	1	185	17	221	3	177	0.361	0.318
13.9	NaN	1182	NaN	1190	0	-47	357	29	26	0	407	6	225	1	194	17	229	4	187	0.379	0.565
14	NaN	1191	NaN	1156	0	-47	361	30	26	0	407	6	240	1	201	15	237	3	198	0.393	0.315
14.1	NaN	1159	NaN	1148	0	-48	358	30	26	0	407	6	244	1	210	15	242	3	203	0.41	0.316
14.2	NaN	1262	NaN	1464	0	-47	356	29	23	0	408	3	236	1	195	8	234	2	198	0.394	-0.182
14.3	NaN	1474	NaN	1299	0	-45	360	26	20	0	406	0	202	0	172	0	201	0	170	0.343	-0.54
14.4	NaN	1165	NaN	1479	0	-48	357	19	12	0	407	-0	159	0	134	-0	160	0	133	0.273	-0.494
14.5	NaN	904	NaN	1265	0	-45	357	2	0	0	407	-0	126	0	100	-0	121	0	101	0.219	-0.434
14.6	NaN	1240	NaN	1522	0	-47	356	0	0	0	407	0	81	0	69	-0	81	-0	70	0.14	-0.356
14.7	NaN	1540	NaN	1577	0	-47	358	0	0	0	408	0	47	0	38	0	44	-0	36	0.101	-0.39
14.8	NaN	1446	NaN	1695	0	-45	360	0	0	0	408	0	11	0	9	0	11	0	9	0.07	-0.3
14.9	NaN	1485	NaN	1821	0	-46	419	0	0	0	416	0	-7	-0	0	-0	-8	-0	-7	0.07	-0.3
15	NaN	1461	NaN	1745	0	-46	518	0	0	0	489	0	-0	0	-1	-0	0	0	1	0.07	-0.3
15.1	NaN	1483	NaN	1676	0	-47	570	0	0	0	524	0	-0	0	1	0	-0	0	-0	0.07	-0.3
15.2	NaN	1436	NaN	1774	0	-47	602	0	0	0	540	0	0	-0	0	0	-0	-0	-0	0.07	-0.3
15.3	NaN	1440	NaN	1761	0	-47	600	0	0	0	538	0	0	0	1	0	0	0	0	0.015	0.175
15.4	NaN	1504	NaN	1844	0	-46	591	0	0	0	536	-0	-0	-0	-1	0	-0	0	-0	0.015	0.175
15.5	NaN	1529	NaN	1741	0	-46	590	0	0	0	536	0	0	0	0	-0	-0	-0	0	0.015	0.175
15.6	NaN	1408	NaN	1679	0	-45	592	0	0	0	532	-0	0	-0	1	0	0	0	-0	0.015	0.175
15.7	NaN	1439	NaN	1660	0	-47	586	0	0	0	531	0	-0	-0	0	0	-0	0	-0	0.015	0.175
15.8	NaN	1469	NaN	1633	0	-47	584	0	0	0	532	-0	0	-0	0	0	0	0	0	0.015	0.175
15.9	NaN	1527	NaN	1671	0	-45	588	0	0	0	531	-0	-0	0	1	-0	0	0	0	0.015	0.175
16	NaN	1483	NaN	1627	0	-47	584	0	0	0	531	0	0	0	0	0	-0	-0	-0	0.015	0.175
16.1	NaN	1473	NaN	1669	0	-46	578	0	0	0	529	0	-0	0	0	-0	0	0	0	0.015	0.175
16.2	NaN	1444	NaN	1719	0	-48	578	0	0	0	530	-0	0	0	1	0	0	0	0	0.015	0.175
16.3	NaN	1447	NaN	1714	0	-44	583	0	0	0	529	-0	0	-0	0	0	0	0	-0	0.015	0.175
16.4	NaN	1472	NaN	1717	0	-45	578	0	0	0	530	-0	0	0	-0	-0	0	0	0	0.015	0.175
16.5	NaN	1538	NaN	1718	0	-47	577	0	0	0	530	0	-0	-0	-0	-0	0	0	0	0.002	0.145
16.6	NaN	1494	NaN	1660	0	-46	576	0	0	0	528	0	-0	0	0	-0	-0	0	-0	0.002	0.145
16.7	NaN	1427	NaN	1676	0	-46	579	0	0	0	528	0	0	0	-0	-0	-0	0	-0	0.002	0.145
16.8	NaN	1440	NaN	1692	0	-47	577	0	0	0	530	0	0	0	-0	-0	0	-0	0	0.002	0.145
16.9	NaN	1500	NaN	1710	0	-45	578	0	0	0	528	0	0	-0	0	0	-0	0	-0	0.002	0.145
17	NaN	1463	NaN	1640	0	-46	576	0	0	0	528	-0	0	0	-0	0	0	0	0	0.002	0.145
17.1	NaN	1477	NaN	1683	0	-45	580	0	0	0	529	0	-0	0	0	0	0	0	0	0.002	0.145
17.2	NaN	1413	NaN	1681.6	0	-46	585	0	0	0	529	-0	0	0	0	0	0	0	-0	0	0.124
17.3	NaN	1453	NaN	1675.7	0	-48	582	0	0	0	529	0	-0	-0	0	-0	-0	0	0	0.001	0.152
17.4	NaN	1455	NaN	1669.8	0	-45	590	0	0	0	529	0	-0	-0	1	0	-0	-0	0	0.001	0.152
17.5	NaN	1438	NaN	1663.9	0	-48	567	0	0	0	527	0	0	0	0	-0	-0	-0	0	0.001	0.152
17.6	NaN	1437	NaN	1654	0	-44	533	0	0	0	503	0	0	0	-0	0	-0	0	0	0.001	0.152
17.7	NaN	1427	NaN	1677	0	-47	478	0	0	0	473	-0	0	-0	-0	0	-0	0	0	0.001	0.151
17.8	NaN	1488	NaN	1679	0	-44	426	0	0	0	441	0	0	-0	-0	-0	0	-0	-0	-0.005	0.144
17.9	NaN	1502	NaN	1638	0	-48	391	0	0	0	425	-0	0	0	0	0	-0	0	0	-0.005	0.144
18	NaN	1453	NaN	1678	0	-47	386	0	0	0	419	0	-0	0	-0	0	-0	0	0	-0.005	0.144
18.1	NaN	1485	NaN	1671	0	-47	380	0	0	0	417	-0	-0	0	0	0	-0	-0	-0	-0.005	0.144
18.2	NaN	1526	NaN	1662	0	-44	382	0	0	0	415	0	-0	-0	0	-0	-0	0	-0	-0.005	0.144
18.3	NaN	1456	NaN	1677	0	-45	381	0	0	0	413	0	0	-0	-0	-0	-0	0	-0	-0.005	0.144
18.4	NaN	1513	NaN	1645	0	-44	376	0	0	0	410	0	-0	-0	-0	-0	-0	0	0	-0.005	0.144
18.5	NaN	1523	NaN	1620	0	-48	377	0	0	0	410	0	0	-0	0	-0	0	0	0	-0.02	0.169
18.6	NaN	1484	NaN	1623	0	-45	377	0	0	0	410	0	-0	0	0	0	0	-0	-0	-0.02	0.169
18.7	NaN	1510	NaN	1640	0	-47	377	0	0	0	409	0	-0	-0	-0	0	-0	0	0	-0.02	0.169
18.8	NaN	1484	NaN	1563	0	-47	378	0	0	0	409	0	-0	0	-0	-0	-0	-0	-0	-0.02	0.169
18.9	NaN	1523	NaN	1775	0	-46	383	0	0	0	410	-0	-0	-0	-0	0	-0	-0	0	-0.02	0.169
19	NaN	1447	NaN	1922	0	-46	375	0	0	0	409	-0	0	0	0	0	0	0	0	-0.02	0.169
19.1	NaN	1420	NaN	1543	0	-48	375	0	0	0	409	-0	-0	0	0	0	-0	0	0	-0.02	0.169
19.2	NaN	1459	NaN	1664	0	-47	378	0	0	0	410	0	-0	0	-0	0	-0	-0	-0	-0.017	0.168
19.3	NaN	1451	NaN	1805	0	-47	377	0	0	0	407	-0	-0	0	0	0	0	0	-0	-0.017	0.168
19.4	NaN	1416	NaN	1640	0	-45	381	0	0	0	408	0	0	0	-0	-0	0	0	-0	-0.016	0.149
19.5	NaN	1445	NaN	1590	0	-47	380	0	0	0	410	-0	0	-0	0	-0	0	0	0	-0.02	0.142
19.6	NaN	1430	NaN	1567	0	-45	382	0	0	0	410	-0	0	0	-0	0	0	0	-0	-0.02	0.142
19.7	NaN	1527	NaN	1566	0	-48	377	0	0	0	408	0	0	0	0	-0	0	-0	-0	-0.02	0.142
19.8	NaN	1423	NaN	1581	0	-48	381	0	0	0	409	-0	-0	0	-0	0	-0	-0	-0	-0.02	0.144
19.9	NaN	1441	NaN	1609	0	-46	382	0	0	0	406	0	-0	0	-0	0	-0	0	0	-0.02	0.144
20	NaN	1459	NaN	1538	0	-47	377	0	0	0	407	0	0	0	0	0	0	-0	-0	-0.02	0.145
20.1	NaN	1450	NaN	1640	0	-48	380	0	0	0	406	-0	-0	-0	-0	-0	-0	-0	0	-0.02	0.145
20.2	NaN	1458	NaN	1715	0	-48	379	0	0	0	408	0	0	-0	0	0	-0	-0	-0	-0.02	0.145
20.3	NaN	1452	NaN	1756	0	-46	386	0	0	0	408	-0	-0	-0	0	0	0	0	0	-0.025	0.157
20.4	NaN	1437	NaN	1734	0	-45	384	0	0	0	407	0	0	-0	0	0	0	0	-0	-0.025	0.157
20.5	NaN	1429	NaN	1716	0	-45	383	0	0	0	407	0	0	0	0	0	0	0	-0	-0.025	0.157
20.6	NaN	1443	NaN	1740	0	-47	378	0	0	0	407	0	0	0	-0	0	0	0	-0	-0.025	0.157
20.7	NaN	1428	NaN	1764	0	-47	382	0	0	0	406	-0	-0	0	-0	-0	-0	-0	-0	-0.025	0.157
20.8	NaN	1428	NaN	1789	0	-44	380	0	0	0	406	0	0	-0	-0	0	-0	-0	0	-0.025	0.157
20.9	NaN	1453	NaN	1873	0	-48	376	0	0	0	407	-0	0	-0	-0	0	-0	-0	-0	-0.027	0.216
21	NaN	1427	NaN	1826	0	-45	382	0	0	0	406	-0	-0	0	-0	-0	-0	0	0	-0.027	0.216
21.1	NaN	1431	NaN	1733	0	-45	377	0	0	0	406	-0	-0	-0	-0	0	-0	0	-0	-0.027	0.216
21.2	NaN	1429	NaN	1664	0	-48	381	0	0	0	409	-0	0	0	-0	-0	0	-0	0	-0.027	0.216
21.3	NaN	1429	NaN	1692	0	-47	380	0	0	0	407	0	-0	0	-0	0	0	-0	-0	-0.027	0.216
21.4	NaN	1499	NaN	1684	0	-46	378	0	0	0	407	0	0	0	-0	0	0	-0	0	-0.027	0.216
21.5	NaN	1430	NaN	1638	0	-46	378	0	0	0	409	-0	-0	0	0	0	-0	-0	-0	-0.027	0.216
21.6	NaN	1427	NaN	1649	0	-46	379	0	0	0	407	0	0	-0	0	0	-0	-0	0	-0.027	0.216
21.7	NaN	1417	NaN	1587	0	-46	378	0	0	0	407	-0	-0	0	0	-0	0	-0	0	-0.027	0.216
21.8	NaN	1413	NaN	1564	0	-44	382	0	0	0	406	0	0	0	-0	0	-0	0	-0	-0.027	0.216
21.9	NaN	1436	NaN	1581	0	-44	378	0	0	0	407	0	0	0	0	0	0	0	0	-0.001	0.157
